Strategy,Model,Tuning MSE,Train MSE,Test MSE,Train R2,Test R2,Train MAE,Test MAE
Strategy 1: Gene Expression Only,LinearRegression,2.4353392938093212,6.454196737911399e-29,2.388318280361397,1.0,0.13538626341719007,6.1869536364119224e-15,1.2193780540961998
Strategy 1: Gene Expression Only,Ridge,2.4343831661322177,5.341403776263327e-06,2.3871238930473484,0.9999979951318908,0.13581865288848383,0.001753175109059959,1.219065576797467
Strategy 1: Gene Expression Only,Lasso,2.6300959426324297,2.6127249770425074,2.754139289402851,0.019327277270342447,0.0029525454539526264,1.323583450651142,1.2952577053506642
Strategy 1: Gene Expression Only,ElasticNet,2.124367331718701,1.647851969518059,2.1050641568858506,0.38148733915654987,0.23792929887208847,1.037719572655531,1.1421934253132877
Strategy 1: Gene Expression Only,DecisionTreeRegressor,2.376903290102878,1.9251862824122283,2.78164220320484,0.2773913481425446,-0.007003998975148251,1.1254475304392622,1.24991575342992
Strategy 1: Gene Expression Only,RandomForestRegressor,2.1361386149562365,0.28692980155076364,2.189155029406296,0.8923023922565387,0.20748690595475539,0.4312313841487817,1.146171228922019
Strategy 1: Gene Expression Only,ExtraTreesRegressor,2.025583984685286,3.133944362055176e-06,2.0027876309024366,0.9999988236902937,0.2749552221011513,0.0009446721821572208,1.1120218510985098
Strategy 1: Gene Expression Only,GradientBoostingRegressor,2.0360989005961088,0.4263722538339094,2.394307801081817,0.8399633934923423,0.1332179502853078,0.5500922808782324,1.1594947183392672
Strategy 1: Gene Expression Only,AdaBoostRegressor,2.134899643502647,1.139512321691964,2.27193919194626,0.5722899804163081,0.17751756531363871,0.8941741372243082,1.179927717626078
Strategy 1: Gene Expression Only,BaggingRegressor,2.1233396706219456,0.2993429402670899,2.2133669925512742,0.8876431852410571,0.1987217442520961,0.437454501419423,1.1510420189723318
Strategy 1: Gene Expression Only,HistGradientBoostingRegressor,2.090444334888181,0.2298954667831762,2.257842510745077,0.9137099329877938,0.18262081487086557,0.3624538377303775,1.1564755631520545
Strategy 1: Gene Expression Only,SVR,2.677773988748211,0.017491346522972708,2.786331694070533,0.9934347141128078,-0.00870167815526357,0.10553814379806462,1.3086299511177433
Strategy 1: Gene Expression Only,KNeighborsRegressor,2.3846066957371845,5.154652768806637e-14,2.21443718404219,0.9999999999999807,0.19833431587982742,9.027790818826777e-08,1.1638929383483023
Strategy 1: Gene Expression Only,CatBoostRegressor,2.124015975000539,0.005097579416269525,2.123370054421477,0.9980866500954332,0.23130223806535843,0.06062708329982281,1.1447405974057312
