H1-2 (3006)
RINL (126432)
RILPL1 (353116)
AGAP4 (119016)
ZDHHC9 (51114)
MTF1 (4520)
ZNF563 (147837)
FSCB (84075)
ZNF573 (126231)
HSH2D (84941)
GMFB (2764)
OR1J2 (26740)
CDC42SE1 (56882)
AVPR1B (553)
SVIP (258010)
SULT1C2 (6819)
SPRED2 (200734)
LRRTM3 (347731)
GPATCH3 (63906)
TOP1 (7150)
DZIP3 (9666)
SAMD13 (148418)
TAP2 (6891)
MICA (100507436)
POU5F1 (5460)
ZNF155 (7711)
MT1A (4489)
DNAJC19 (131118)
KRTAP4-9 (100132386)
FAM24B (196792)
KRT222 (125113)
HEXA (3073)
ZNF134 (7693)
BBIP1 (92482)
FAM187A (100528020)
CSKMT (751071)
TMEM242 (729515)
ZNF579 (163033)
CELA3B (23436)
TAFA5 (25817)
PET100 (100131801)
PGA3 (643834)
GET4 (51608)
PSG2 (5670)
C22orf39 (128977)
TNFRSF6B (8771)
NME2 (4831)
TMEM200B (399474)
FDXACB1 (91893)
LIMS4 (100288695)
RBM15B (29890)
PECAM1 (5175)
IKBKE (9641)
PIP4K2B (8396)
F8A3 (474384)
